step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain
224,0,2,2.215304,37.943115,0.902418,1.000000,7.631531,0.911098,0.673084
225,1,6,2.700500,38.074812,0.902838,1.000000,7.631531,0.910702,0.712164
226,1,1,2.150536,38.017733,0.902508,1.000000,7.631531,0.910306,0.885939
227,3,2,2.841747,37.904813,0.902507,1.000000,7.631531,0.909910,0.654766
228,3,1,2.693324,37.904972,0.902213,1.000000,7.631531,0.909514,0.763301
229,1,1,2.472915,38.269611,0.902776,1.000000,7.631531,0.909118,0.694853
230,0,4,2.522822,38.188266,0.903102,1.000000,7.631531,0.908722,0.816563
231,1,7,2.626393,38.045563,0.902540,1.000000,7.631531,0.908326,0.440264
232,1,1,2.414703,37.983064,0.902850,1.000000,7.631531,0.907930,0.725857
233,0,4,2.647957,38.139174,0.902808,1.000000,7.631531,0.907534,0.684597
234,0,5,2.245927,38.003351,0.902959,1.000000,7.631531,0.907138,0.658379
235,0,3,2.322340,38.012973,0.902654,1.000000,7.631531,0.906742,0.545219
236,0,5,2.553186,37.836393,0.902120,1.000000,7.631531,0.906346,0.687722
237,3,1,2.471426,37.933456,0.902837,1.000000,7.631531,0.905950,0.707611
238,1,6,2.332706,37.749898,0.902401,1.000000,7.631531,0.905554,0.845899
239,0,3,2.257086,37.868303,0.902525,1.000000,7.631531,0.905158,0.564813
240,2,5,2.548024,37.746207,0.902203,1.000000,7.631531,0.904762,0.655580
241,1,1,2.297908,37.813456,0.902015,1.000000,7.631531,0.904366,0.633453
242,3,2,2.466030,37.855438,0.902202,1.000000,7.631531,0.903970,0.578799
243,0,3,2.481250,37.838304,0.902447,1.000000,7.631531,0.903574,0.502762
244,0,2,2.515759,37.843234,0.902586,1.000000,7.631531,0.903178,0.435671
245,1,1,2.734229,37.692975,0.902507,1.000000,7.631531,0.902782,0.617146
246,1,1,2.333515,37.545331,0.902582,1.000000,7.631531,0.902386,0.547929
247,0,2,2.687940,37.447562,0.902497,1.000000,7.631531,0.901990,0.327590
248,1,6,2.541470,37.725327,0.902902,1.000000,7.631531,0.901594,0.844433
249,1,0,2.661873,37.868038,0.902085,1.000000,7.631531,0.901198,0.622319
250,1,0,2.368599,37.842227,0.902445,1.000000,7.631531,0.900802,0.679517
251,0,4,2.536048,37.638594,0.902838,1.000000,7.631531,0.900406,0.544311
252,0,3,2.333974,37.656409,0.902382,1.000000,7.631531,0.900010,0.457063
253,0,5,2.563818,37.812215,0.902840,1.000000,7.631531,0.899614,0.563423
254,0,5,2.615635,37.572041,0.902466,1.000000,7.631531,0.899218,0.551933
255,0,5,2.329282,37.622825,0.902097,1.000000,7.631531,0.898822,0.528835
256,2,6,2.539021,37.566976,0.902840,1.000000,7.631531,0.898426,0.819272
257,3,2,2.325014,37.388031,0.902871,1.000000,7.631531,0.898030,0.403684
258,1,0,2.139884,37.576790,0.902639,1.000000,7.631531,0.897634,0.811804
259,2,6,2.331655,37.662978,0.902856,1.000000,7.631531,0.897238,0.778531
260,1,7,2.522098,37.569283,0.902395,1.000000,7.631531,0.896842,0.745777
261,0,3,2.357565,37.484504,0.902502,1.000000,7.631531,0.896446,0.515304
262,0,4,2.401792,37.693032,0.902893,1.000000,7.631531,0.896050,0.575220
263,1,7,2.763573,37.929149,0.903100,1.000000,7.631531,0.895654,0.587026
264,0,5,2.315856,38.086327,0.902981,1.000000,7.631531,0.895258,0.580298
265,2,6,2.354989,37.991935,0.902908,1.000000,7.631531,0.894862,0.428844
266,1,7,2.429536,38.104092,0.902436,1.000000,7.631531,0.894466,0.570409
267,1,6,2.677054,37.953341,0.902370,1.000000,7.631531,0.894070,0.331619
268,0,3,2.446348,38.050346,0.902382,1.000000,7.631531,0.893674,0.370800
269,1,0,2.349222,37.973072,0.902482,1.000000,7.631531,0.893278,0.738218
270,1,1,2.565778,37.773731,0.902833,1.000000,7.631531,0.892882,0.419380
271,1,6,2.619587,37.756938,0.902109,1.000000,7.631531,0.892486,0.301022
272,1,0,2.411653,37.482800,0.903004,1.000000,7.631531,0.892090,0.787842
273,0,5,2.622318,37.493717,0.902335,1.000000,7.631531,0.891694,0.486974
274,0,3,2.738094,37.679100,0.902955,1.000000,7.631531,0.891298,0.380476
275,1,0,2.252569,37.639783,0.902516,1.000000,7.631531,0.890902,0.634567
276,1,7,2.420009,37.565228,0.903073,1.000000,7.631531,0.890506,0.579724
277,0,5,2.464153,37.568350,0.903410,1.000000,7.631531,0.890110,0.489618
278,0,5,2.350189,37.799612,0.902448,1.000000,7.631531,0.889714,0.596408
279,0,2,2.220104,37.907754,0.902485,1.000000,7.631531,0.889318,0.298998
280,0,5,2.863439,37.753753,0.902566,1.000000,7.631531,0.888922,0.654861
281,0,4,2.573441,37.988747,0.902491,1.000000,7.631531,0.888526,0.504809
282,1,6,2.517016,38.065415,0.902755,1.000000,7.631531,0.888130,0.300872
283,1,0,2.582419,38.156922,0.902546,1.000000,7.631531,0.887734,0.661529
284,0,5,2.692375,38.116179,0.902779,1.000000,7.631531,0.887338,0.711415
285,0,3,2.339275,38.228525,0.902690,1.000000,7.631531,0.886942,0.385423
286,1,0,2.269208,38.426713,0.902959,1.000000,7.631531,0.886546,0.650845
287,1,1,2.148629,38.295517,0.903182,1.000000,7.631531,0.886150,0.443045
288,0,3,2.366513,38.721181,0.902037,1.000000,7.631531,0.885754,0.372159
289,0,2,2.229515,38.935698,0.902185,1.000000,7.631531,0.885358,0.413506
290,1,7,2.402613,39.093292,0.902767,1.000000,7.631531,0.884962,0.521170
291,3,2,2.653097,39.208581,0.903182,1.000000,7.631531,0.884566,0.644801
292,0,4,2.991306,39.106038,0.902497,1.000000,7.631531,0.884170,0.870309
293,1,6,2.668446,38.953866,0.902521,1.000000,7.631531,0.883774,0.608230
