step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,last_sleep_round,last_sleep_delta_fe,last_sleep_replayed
149,0,5,2.753062,37.937565,0.902697,1.000000,7.631531,0.703990,0.410263,-1,0.000000,0
150,1,6,2.655339,37.790472,0.902570,1.000000,7.631531,0.702010,0.348538,-1,0.000000,0
151,0,3,2.356054,37.735611,0.902579,1.000000,7.631531,0.700030,0.663172,-1,0.000000,0
152,0,5,2.280360,37.580658,0.902532,1.000000,7.631531,0.698050,0.484915,-1,0.000000,0
153,0,3,2.360638,37.894900,0.902118,1.000000,7.631531,0.696070,0.594452,-1,0.000000,0
154,0,5,2.622246,37.961135,0.902165,1.000000,7.631531,0.694090,0.485524,-1,0.000000,0
155,0,4,2.520557,37.938373,0.902809,1.000000,7.631531,0.692110,0.416842,-1,0.000000,0
156,3,2,2.393005,37.854544,0.902831,1.000000,7.631531,0.690130,0.525484,-1,0.000000,0
157,0,5,2.687619,37.749902,0.902338,1.000000,7.631531,0.688150,0.440014,-1,0.000000,0
158,1,0,2.435657,37.711875,0.902842,1.000000,7.631531,0.686170,0.811919,-1,0.000000,0
159,1,1,2.248039,38.141567,0.902431,1.000000,7.631531,0.684190,0.547898,-1,0.000000,0
160,1,6,2.114987,38.085335,0.902462,1.000000,7.631531,0.682210,0.528483,-1,0.000000,0
161,0,5,2.219007,38.197952,0.902859,1.000000,7.631531,0.680230,0.448181,-1,0.000000,0
162,0,5,2.421331,38.427887,0.902406,1.000000,7.631531,0.678250,0.447181,-1,0.000000,0
163,1,6,2.469319,38.613106,0.902500,1.000000,7.631531,0.676270,0.556174,-1,0.000000,0
164,0,2,1.928424,38.756967,0.902503,1.000000,7.631531,0.674290,0.538286,-1,0.000000,0
165,0,5,2.293195,38.873024,0.902206,1.000000,7.631531,0.672310,0.497405,-1,0.000000,0
166,2,5,2.685041,38.679101,0.902543,1.000000,7.631531,0.670330,0.568791,-1,0.000000,0
167,3,1,2.788492,38.554445,0.902116,1.000000,7.631531,0.668350,0.664813,-1,0.000000,0
168,0,2,2.631625,38.588702,0.902089,1.000000,7.631531,0.666370,0.552854,-1,0.000000,0
169,0,5,2.296374,38.656218,0.902695,1.000000,7.631531,0.664390,0.447169,-1,0.000000,0
170,3,1,2.511338,38.634955,0.902823,1.000000,7.631531,0.662410,0.706795,-1,0.000000,0
171,3,1,2.502583,38.621500,0.902136,1.000000,7.631531,0.660430,0.716897,-1,0.000000,0
172,1,6,2.421800,38.489961,0.902846,1.000000,7.631531,0.658450,0.540976,-1,0.000000,0
173,1,1,2.204476,38.358640,0.902485,1.000000,7.631531,0.656470,0.714656,-1,0.000000,0
174,2,5,2.331437,38.346402,0.902906,1.000000,7.631531,0.654490,0.445670,-1,0.000000,0
175,1,0,2.929888,38.123330,0.902438,1.000000,7.631531,0.652510,0.810678,-1,0.000000,0
176,0,4,2.443428,38.456074,0.902848,1.000000,7.631531,0.650530,0.438244,-1,0.000000,0
177,0,5,2.697000,38.664646,0.903212,1.000000,7.631531,0.648550,0.518306,-1,0.000000,0
178,0,3,2.089453,38.895548,0.902873,1.000000,7.631531,0.646570,0.511656,-1,0.000000,0
179,0,3,2.308930,38.940118,0.902579,1.000000,7.631531,0.644590,0.533980,-1,0.000000,0
180,1,0,2.706493,39.124435,0.902958,1.000000,7.631531,0.642610,0.833161,-1,0.000000,0
181,0,4,2.620696,39.098138,0.902146,1.000000,7.631531,0.640630,0.525658,-1,0.000000,0
182,0,3,2.270197,39.058331,0.902590,1.000000,7.631531,0.638650,0.422719,-1,0.000000,0
183,0,2,2.423521,39.111878,0.902861,1.000000,7.631531,0.636670,0.568699,-1,0.000000,0
184,1,1,2.632322,39.453947,0.902119,1.000000,7.631531,0.634690,0.864244,-1,0.000000,0
185,1,0,2.096598,39.447755,0.902538,1.000000,7.631531,0.632710,0.799022,-1,0.000000,0
