step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,agent_cx,agent_cy,agent_vx,agent_vy,n_bodies,is_post_disappear
157,0,5,2.687251,37.755411,0.902338,1.000000,9.244812,0.688150,0.344065,43.2696,45.8858,-7.8100,-5.6750,2,0
158,1,0,2.434814,37.717966,0.902842,1.000000,9.259216,0.686170,0.804473,43.2696,45.8858,-7.8100,-5.6750,2,0
159,1,1,2.248713,38.148038,0.902825,1.000000,9.244812,0.684190,0.570957,43.2696,45.8858,-7.8100,-5.6750,2,0
160,1,6,2.109627,38.091865,0.902174,1.000000,9.244812,0.682210,0.535137,43.2696,45.8858,-7.8100,-5.6750,2,0
161,0,5,2.217313,38.204521,0.903264,1.000000,9.244812,0.680230,0.352699,43.2696,45.8858,-7.8100,-5.6750,2,0
162,0,5,2.416373,38.434461,0.903268,1.000000,9.244812,0.678250,0.353431,43.2696,45.8858,-7.8100,-5.6750,2,0
163,1,6,2.466641,38.619637,0.902888,1.000000,9.230408,0.676270,0.565157,43.2696,45.8858,-7.8100,-5.6750,2,0
164,0,2,1.931882,38.765158,0.902896,1.000000,9.230408,0.674290,0.604327,43.2696,45.8858,-7.8100,-5.6750,2,0
165,0,5,2.290893,38.879040,0.902229,1.000000,9.288025,0.672310,0.428775,43.2696,45.8858,-7.8100,-5.6750,2,0
166,2,5,2.683619,38.686021,0.902542,1.000000,9.288025,0.670330,0.448099,43.2696,45.8858,-7.8100,-5.6750,2,0
167,3,1,2.790800,38.561091,0.902107,1.000000,9.230408,0.668350,0.613120,43.2696,45.8858,-7.8100,-5.6750,2,0
168,0,2,2.633150,38.596934,0.902100,1.000000,9.216003,0.666370,0.588942,43.2696,45.8858,-7.8100,-5.6750,2,0
169,0,5,2.290772,38.665089,0.902719,1.000000,9.259216,0.664390,0.447498,43.2696,45.8858,-7.8100,-5.6750,2,0
170,3,1,2.516752,38.643572,0.902823,1.000000,9.244812,0.662410,0.636239,43.2696,45.8858,-7.8100,-5.6750,2,0
171,3,1,2.504522,38.631246,0.902132,1.000000,9.259216,0.660430,0.638253,43.2696,45.8858,-7.8100,-5.6750,2,0
172,1,6,2.421855,38.499572,0.902571,1.000000,9.288025,0.658450,0.638833,43.2696,45.8858,-7.8100,-5.6750,2,0
173,1,1,2.205066,38.329148,0.902485,1.000000,9.259216,0.656470,0.659117,43.2696,45.8858,-7.8100,-5.6750,2,0
174,2,5,2.330563,38.339176,0.903316,1.000000,9.273621,0.654490,0.434219,43.2696,45.8858,-7.8100,-5.6750,2,0
175,1,0,2.932183,38.120857,0.902832,1.000000,9.216003,0.652510,0.821800,43.2696,45.8858,-7.8100,-5.6750,2,0
176,0,4,2.442495,38.448359,0.903235,1.000000,9.244812,0.650530,0.478656,43.2696,45.8858,-7.8100,-5.6750,2,0
177,0,5,2.693769,38.658141,0.903197,1.000000,9.216003,0.648550,0.527026,43.2696,45.8858,-7.8100,-5.6750,2,0
178,0,3,2.088920,38.899434,0.903342,1.000000,9.288025,0.646570,0.509536,43.2696,45.8858,-7.8100,-5.6750,2,0
179,0,3,2.315381,38.930385,0.903422,1.000000,9.288025,0.644590,0.531008,43.2696,45.8858,-7.8100,-5.6750,2,0
180,1,0,2.703798,39.112015,0.902965,1.000000,9.230408,0.642610,0.832599,43.2696,45.8858,-7.8100,-5.6750,2,0
181,0,4,2.622991,39.101968,0.902146,1.000000,9.259216,0.640630,0.606891,43.2696,45.8858,-7.8100,-5.6750,2,0
182,0,3,2.267257,39.055375,0.903530,1.000000,9.216003,0.638650,0.419320,43.2696,45.8858,-7.8100,-5.6750,2,0
183,0,2,2.416951,39.085819,0.902585,1.000000,9.259216,0.636670,0.592294,43.2696,45.8858,-7.8100,-5.6750,2,0
184,1,1,2.635053,39.452344,0.902116,1.000000,9.244812,0.634690,0.793591,43.2696,45.8858,-7.8100,-5.6750,2,0
185,1,0,2.093024,39.437275,0.902942,1.000000,9.288025,0.632710,0.797640,43.2696,45.8858,-7.8100,-5.6750,2,0
186,1,7,2.345792,39.296664,0.902418,1.000000,9.288025,0.630730,0.298360,43.2696,45.8858,-7.8100,-5.6750,2,0
187,0,5,2.430528,39.270063,0.903275,1.000000,9.230408,0.628750,0.478236,43.2696,45.8858,-7.8100,-5.6750,2,0
188,0,5,2.469900,39.509833,0.903598,1.000000,9.230408,0.626770,0.528238,43.2696,45.8858,-7.8100,-5.6750,2,0
189,2,5,2.425107,39.684255,0.902526,1.000000,9.187195,0.624790,0.596050,43.2696,45.8858,-7.8100,-5.6750,2,0
